"RESENT,C,2","EDAD,C,3","SEXO,C,1","TPREG,C,1","ENTIDAD,C,2","MUNICIPIO,C,3","LOCALIDAD,C,4","AGEB,C,4","NUMCONTROL,C,6","VIVSEL,C,2","IDHOGAR,C,6","RADIO,C,1","PERYREV,C,1","REVCIEN,C,1","INTERNET,C,1","TELEVI,C,1","ESCUNIV,C,1","ALLOPTS,C,1","NONEOP,C,1","NOSABE,C,1","HRSTV,C,3","NOTITV,C,3","CYTTV,C,3","HRSRADIO,C,3","NOTIRA,C,3","CYTRA,C,3","DIASPER,C,1","ARTIPER,C,3","NOTIPER,C,3","CYTPER,C,3","DIASREV,C,2","ARTREV,C,2","NOTIREV,C,2","CYTREV,C,2","REVISTA1,C,30","REVISTA2,C,30","REVISTA3,C,30","ACCOMPU,C,1","LUGAR1,C,2","LUGAR2,C,2","CINTERN,C,1","ACCINTER,C,1","HORASIN,C,3","ARTEYHUM,C,1","SOCYCUL,C,1","CONVERTR,C,1","INSTGOB,C,1","CIENCIA,C,1","DEPOR,C,1","ECOYFIN,C,1","ENTRETE,C,1","TECNOL,C,1","NOTIAC,C,1","EDUCA,C,1","SERVSREF,C,1","COMENLI,C,1","CORREOE,C,1","MEDICINA,C,1","OTROS,C,1","MUSARTE,C,1","ZOO,C,1","BIBLIOPUB,C,1","MUSCYT,C,1","PLANETA,C,1","EXPTYI,C,1","SEMNCYT,C,1","MUCHPCYT,C,1","DESCYTNE,C,1","PERSINCC,C,1","PREFTVSI,C,1","NOLEECYT,C,1","NUMREN,C,2","FACPER,N,10,0"
01,036,2,7,03,003,0001,3481,030087,02,111111,2,5,6,3,1,4,0,0,0,014,007,000,000,000,000,0,000,000,000,01,02,00,00,SELECCIONES,,,2,,,1,2,,,,,,,,,,,,,,,,,,2,1,1,2,2,2,2,2,3,2,2,2,02,165
01,063,1,7,03,003,0001,3481,030087,03,111111,2,6,5,4,3,1,0,0,0,000,000,000,014,014,000,0,000,000,000,00,00,00,00,,,,2,,,2,,,,,,,,,,,,,,,,,,,2,2,2,2,2,2,2,2,2,2,2,2,01,372
01,046,1,7,03,003,0001,3481,030087,04,111111,4,2,5,1,3,6,0,0,0,007,007,000,021,004,000,0,000,000,000,02,00,00,00,,,,2,,,1,2,,,,,,,,,,,,,,,,,,2,2,2,2,2,2,2,3,3,2,2,2,01,372
01,034,2,7,03,003,0001,3481,030087,05,111111,5,6,3,2,4,1,0,0,0,014,014,000,000,000,000,0,000,000,000,02,20,00,00,ATALAYA,DESPERTAD,,2,,,2,,,,,,,,,,,,,,,,,,,2,2,2,2,2,2,2,5,5,2,2,4,02,165
01,043,2,7,03,003,0001,3208,030088,01,111111,5,6,3,2,4,1,0,0,0,042,007,000,002,000,000,5,025,000,000,00,00,00,00,,,,2,,,2,,,,,,,,,,,,,,,,,,,2,2,2,2,2,2,2,3,3,3,3,3,01,974
01,021,2,7,03,003,0001,3208,030088,02,111111,3,4,5,6,2,1,0,0,0,007,007,000,021,000,000,1,002,001,000,00,00,00,00,,,,2,,,2,,,,,,,,,,,,,,,,,,,2,2,1,2,2,2,2,2,1,3,3,2,02,974
01,018,2,7,03,003,0001,3208,030088,03,111111,1,4,5,2,3,6,0,0,0,042,007,000,042,021,000,7,014,000,000,01,10,00,00,TV,ERES,POR TI,1,01,00,1,1,021,2,2,1,2,2,2,2,1,2,2,2,2,2,1,2,2,1,1,2,1,1,2,2,2,2,3,2,2,03,974
01,020,2,7,03,003,0001,3208,030088,04,111111,6,4,3,2,5,1,0,0,0,014,000,000,014,004,000,0,000,000,000,01,05,02,01,MUY INTERESANTE,CONTINENTAL,,1,01,03,1,1,030,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,2,1,1,1,2,2,2,2,3,2,1,2,1,04,974
01,020,1,7,03,003,0001,3208,030088,05,111111,6,4,5,2,3,1,0,0,0,003,003,000,021,007,000,0,000,000,000,00,00,00,00,,,,1,08,00,1,1,004,2,2,1,2,2,2,2,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1,3,4,2,3,01,4000
01,029,2,7,03,003,0001,2017,030097,01,111111,2,5,4,6,3,1,0,0,0,027,007,001,000,000,000,0,000,000,000,00,00,00,00,,,,2,,,2,,,,,,,,,,,,,,,,,,,2,2,2,1,2,2,2,1,2,1,2,4,01,1252
01,021,1,7,03,003,0001,2017,030097,02,111111,1,5,6,4,2,3,0,0,0,007,004,000,003,000,000,2,007,007,000,15,70,25,07,REVISTA DEL EJERCITO Y FUERZA,TV NOVELAS,TV NOTAS,2,,,2,,,,,,,,,,,,,,,,,,,2,2,1,2,2,1,2,3,2,1,3,2,02,1124
01,076,2,7,03,003,0001,2017,030097,04,111111,9,9,9,9,9,9,9,9,9,007,003,000,001,001,000,7,002,002,000,00,00,00,00,,,,2,,,1,2,,,,,,,,,,,,,,,,,,2,1,2,2,2,2,2,2,2,3,2,2,04,1252
01,031,2,7,03,003,0001,2017,030097,05,111111,2,6,5,4,1,3,0,0,0,014,007,000,000,000,000,0,000,000,000,00,00,00,00,,,,2,,,1,2,,,,,,,,,,,,,,,,,,1,1,1,2,2,2,2,2,2,3,4,4,02,1252
01,046,2,7,03,003,0001,1926,030109,01,111111,6,1,5,3,4,2,0,0,0,007,007,000,048,007,000,7,014,014,000,00,00,00,00,,,,2,,,2,,,,,,,,,,,,,,,,,,,2,2,2,2,2,2,2,2,2,2,2,2,02,878
