"TPREG,C,1","ENTIDAD,C,2","MUNICIPIO,C,3","LOCALIDAD,C,4","AGEB,C,4","NUMCONTROL,C,6","VIVSEL,C,2","IDHOGAR,C,6","NUMREN,C,2","PARENTE,C,1","SEXO,C,1","EDAD,C,3","DIA,C,2","MES,C,2","ELIGIBI,C,1","ALFABE,C,1","ASISTEN,C,1","NIVEL,C,2","ANIOS,C,1","ANTECE,C,1","SITCONY,C,1","CONDACT,C,1","VERIFAC,C,1","FACVIV,N,10,0"
4,03,003,0001,1926,030109,02,111111,07,4,1,018,18,10,1,1,2,03,2,,6,1,,476
4,03,003,0001,1926,030109,03,111111,01,1,1,038,13,10,1,1,2,04,3,,2,1,,476
4,03,003,0001,1926,030109,04,111111,01,1,1,064,19,03,0,1,2,02,3,,5,6,5,476
4,03,003,0001,1926,030109,04,111111,02,2,1,057,20,12,0,1,2,02,4,,5,5,5,476
4,03,003,0001,1926,030109,04,111111,03,3,1,036,17,03,0,1,2,02,3,,6,1,,476
4,03,003,0001,1926,030109,04,111111,04,3,1,025,21,07,1,1,2,04,3,,5,1,,476
4,03,003,0001,1926,030109,04,111111,05,4,1,029,23,11,0,1,2,04,3,,5,1,,476
4,03,003,0001,1926,030109,05,111111,01,1,1,060,10,10,1,1,2,02,6,,4,6,5,476
4,03,003,0001,1926,030109,05,111111,02,4,1,016,29,02,0,1,1,03,2,,6,1,,476
4,03,003,0001,1926,030109,05,111111,03,4,1,014,21,08,0,1,1,03,1,,6,4,5,476
4,03,003,0001,1926,030109,05,111111,04,4,2,012,08,09,0,1,1,02,1,,6,4,5,476
4,03,003,0001,2267,030117,01,111111,01,1,2,047,07,09,1,1,2,09,3,5,2,1,,393
4,03,003,0001,2267,030117,01,111111,02,3,2,015,11,04,0,1,1,03,3,,6,4,5,393
4,03,003,0001,2267,030117,02,111111,01,1,1,018,05,04,1,1,1,03,3,,6,8,5,393
4,03,003,0001,2267,030117,02,111111,02,7,1,016,02,02,0,1,2,04,1,,6,1,,393
4,03,003,0001,2267,030117,03,111111,01,1,2,067,29,09,1,1,2,06,3,3,4,6,5,393
4,03,003,0001,2267,030117,03,111111,02,4,1,059,17,05,0,1,2,03,3,,6,8,5,393
4,03,003,0001,2267,030117,04,111111,01,1,1,060,23,08,0,1,2,07,5,3,5,1,,393
4,03,003,0001,2267,030117,04,111111,02,2,2,050,09,08,0,1,2,07,5,3,5,1,,393
4,03,003,0001,2267,030117,04,111111,03,3,2,023,06,11,1,1,1,07,2,3,6,4,5,393
4,03,003,0001,2267,030117,04,111111,04,3,2,020,11,01,0,1,1,07,1,3,6,4,5,393
4,03,003,0001,2267,030117,05,111111,01,1,1,024,14,05,0,1,1,07,3,3,6,4,5,393
4,03,003,0001,2267,030117,05,111111,02,7,2,028,13,09,1,1,1,08,2,4,6,4,5,393
4,03,003,0001,2267,030117,05,111111,03,7,1,032,09,09,0,1,2,07,4,3,6,1,,393
4,03,003,0001,3388,030118,01,111111,01,1,1,025,19,09,0,1,2,03,3,,5,1,,525
4,03,003,0001,3388,030118,01,111111,02,2,2,023,27,09,1,1,2,04,3,,5,1,,525
4,03,003,0001,3388,030118,02,111111,01,1,2,068,24,11,0,1,2,02,2,,4,5,5,525
4,03,003,0001,3388,030118,02,111111,02,2,1,045,26,08,1,1,2,02,4,,6,1,,525
4,03,003,0001,3388,030118,03,111111,01,1,2,022,24,08,1,1,1,07,1,3,6,4,5,525
4,03,003,0001,3388,030118,04,111111,01,1,1,050,24,08,0,1,2,03,3,,5,1,,525
4,03,003,0001,3388,030118,04,111111,02,2,2,041,16,01,0,1,2,04,3,,5,5,1,525
4,03,003,0001,3388,030118,04,111111,03,4,1,022,11,02,0,1,2,03,3,,5,1,,525
4,03,003,0001,3388,030118,04,111111,04,3,1,021,08,05,0,1,1,07,3,3,6,4,3,525
4,03,003,0001,3388,030118,04,111111,05,3,2,019,22,11,1,1,2,04,3,,5,1,,525
4,03,003,0001,3388,030118,04,111111,06,4,2,001,21,04,0,,,,,,,,,525
4,03,003,0001,3388,030118,05,111111,01,1,1,039,17,03,0,1,2,03,3,,5,1,,525
4,03,003,0001,3388,030118,05,111111,02,2,2,038,05,11,1,1,2,02,6,,5,5,5,525
4,03,003,0001,3388,030118,05,111111,03,3,2,020,12,08,0,1,2,04,3,,1,5,5,525
4,03,003,0001,3388,030118,05,111111,04,3,2,017,19,01,0,1,1,04,2,,6,4,5,525
4,03,003,0001,3388,030118,05,111111,05,3,2,015,07,02,0,1,2,03,3,,6,8,5,525
4,03,003,0001,3388,030118,05,111111,06,4,2,001,07,04,0,,,,,,,,,525
4,03,003,0001,3388,030118,05,111111,07,4,1,018,07,12,0,1,2,03,3,,1,1,,525
4,03,003,0001,1930,030123,01,111111,01,1,1,054,26,12,0,1,2,02,4,,1,1,,536
4,03,003,0001,1930,030123,01,111111,02,2,2,046,01,07,1,1,2,00,0,,1,5,5,536
4,03,003,0001,1930,030123,01,111111,03,3,1,014,26,12,0,1,1,03,2,,6,4,5,536
4,03,003,0001,1930,030123,01,111111,04,3,2,012,30,08,0,1,1,02,5,,6,4,5,536
4,03,003,0001,1930,030123,02,111111,01,1,2,048,24,01,0,1,2,07,6,3,6,1,,536
4,03,003,0001,1930,030123,02,111111,02,4,2,079,20,10,1,1,2,02,5,,4,5,5,536
4,03,003,0001,1930,030123,02,111111,03,4,1,039,08,02,0,1,2,04,3,,6,1,,536
4,03,003,0001,1930,030123,02,111111,04,4,1,006,27,03,0,1,1,01,2,,,,,536
4,03,003,0001,1930,030123,02,111111,05,4,2,008,04,01,0,1,1,02,2,,,,,536
4,03,003,0001,1930,030123,03,111111,01,1,2,044,09,02,0,1,2,02,6,,6,1,,536
4,03,003,0001,1930,030123,03,111111,02,3,2,018,01,05,0,1,1,04,3,,6,1,,536
4,03,003,0001,1930,030123,03,111111,03,4,2,031,12,11,1,1,2,04,3,,6,1,,536
4,03,003,0001,1930,030123,04,111111,01,1,1,063,05,07,0,1,2,02,3,,5,8,5,536
4,03,003,0001,1930,030123,04,111111,02,2,2,057,30,08,1,1,2,02,3,,5,5,5,536
4,03,003,0001,1930,030123,04,111111,03,3,2,027,21,05,0,1,2,07,5,3,6,1,,536
4,03,003,0001,1930,030123,04,111111,04,3,1,025,26,07,0,1,2,04,1,,6,3,5,536
4,03,003,0001,1930,030123,05,111111,01,1,2,071,05,07,1,1,2,02,6,,4,5,5,536
4,03,003,0001,1930,030123,05,111111,02,3,1,041,22,11,0,1,2,02,6,,6,1,,536
4,03,003,0001,1930,030123,05,111111,03,3,2,028,20,02,0,1,2,02,6,,6,1,,536
4,03,003,0001,3462,030138,01,111111,01,1,1,024,04,06,0,1,2,03,2,,1,1,,515
4,03,003,0001,3462,030138,01,111111,02,2,2,025,21,11,1,1,2,03,3,,1,5,5,515
4,03,003,0001,3462,030138,01,111111,03,4,1,007,14,12,0,1,1,02,1,,,,,515
4,03,003,0001,3462,030138,01,111111,04,3,2,003,04,07,0,,,,,,,,,515
4,03,003,0001,3462,030138,01,111111,05,3,1,000,30,07,0,,,,,,,,,515
4,03,003,0001,3462,030138,02,111111,01,1,1,049,04,05,0,1,2,02,4,,1,1,,515
4,03,003,0001,3462,030138,02,111111,02,2,2,046,27,04,0,1,2,02,4,,1,5,5,515
4,03,003,0001,3462,030138,02,111111,03,3,2,022,08,09,1,1,1,07,4,3,6,1,,515
4,03,003,0001,3462,030138,02,111111,04,3,1,020,22,06,0,1,1,04,2,,6,1,,515
