"RESENT,C,2","EDAD,C,3","SEXO,C,1","TPREG,C,1","ENTIDAD,C,2","MUNICIPIO,C,3","LOCALIDAD,C,4","AGEB,C,4","NUMCONTROL,C,6","VIVSEL,C,2","IDHOGAR,C,6","SABECONACY,C,1","TELE,C,1","RADIO,C,1","PEROREV,C,1","LIBROS,C,1","INTERNET,C,1","OTROS,C,1","NOSABECONA,C,1","PUREVCIETE,C,1","DIFACTCYTM,C,1","FINEMPDEST,C,1","APOPROYCUL,C,1","BECAPOSG,C,1","INVEST,C,1","FININVUNI,C,1","CONSESC,C,1","OTRAS,C,1","TEXTO,C,30","OPNCONA,C,1","BECPOSNAC,C,1","BECPOSEXT,C,1","BECESTTEC,C,1","INCINVDES,C,1","FONMIX,C,1","FONSEC,C,1","FONINS,C,1","PROAVA,C,1","SISNACINV,C,1","REDCON,C,1","COOPINST,C,1","REGNACCIEN,C,1","SISINFCIET,C,1","INFEDOCIET,C,1","APOYINV,C,1","SISNACINV2,C,1","BECPOS,C,1","APODESTEC,C,1","PROGRETREP,C,1","PRIOCONA,C,1","RELCONCIEN,C,1","POLACTCONA,C,1","OBSERVACIO,C,254","NUMREN,C,2","FACPER,N,10,0"
01,037,1,C,03,003,0001,3462,030138,03,111111,1,0,0,1,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01,3902
01,035,2,C,03,003,0001,3462,030138,04,111111,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,2,2,,1,2,2,2,1,2,2,1,1,1,2,2,2,2,1,1,2,2,2,1,3,2,1,,02,950
01,019,2,C,03,003,0001,3462,030138,05,111111,1,1,0,0,0,0,0,1,1,1,2,2,2,1,1,2,2,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,4,3,5,3,3,1,,03,950
01,039,1,C,03,003,0001,2962,030169,01,111111,1,1,1,1,1,0,0,1,1,1,1,2,1,1,1,1,2,,2,1,1,3,1,1,3,1,1,1,1,1,1,1,1,1,2,2,2,2,1,4,1,,01,2152
01,054,1,C,03,003,0001,2962,030169,03,111111,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01,2152
01,019,1,C,03,003,0001,2962,030169,05,111111,1,1,0,0,0,0,0,1,1,1,3,3,3,1,1,2,2,,3,2,2,2,2,2,2,2,2,2,2,2,3,3,3,2,2,2,2,1,3,5,3,,03,2152
01,064,1,C,03,003,0001,2943,030173,01,111111,1,1,0,1,0,0,0,1,1,1,1,1,1,1,1,2,2,,1,2,1,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,3,1,2,,01,1207
01,053,1,C,03,003,0001,2943,030173,02,111111,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01,1207
01,033,2,C,03,003,0001,2943,030173,03,111111,1,1,0,0,0,0,0,1,1,1,3,2,2,1,1,2,2,,2,1,1,1,1,1,3,1,2,1,2,1,1,1,1,1,1,1,1,1,3,5,1,,01,1345
01,031,1,C,03,003,0001,2943,030173,04,111111,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01,1207
01,023,2,C,03,003,0001,3049,030251,01,111111,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05,972
01,072,2,C,03,003,0001,3049,030251,02,111111,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,02,972
01,021,2,C,03,003,0001,3049,030251,03,111111,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,03,972
01,036,2,C,03,003,0001,3049,030251,04,111111,1,1,0,0,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,02,972
01,044,2,C,03,003,0001,3049,030251,05,111111,1,1,0,0,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,02,972
01,019,1,C,03,003,0001,3091,030272,01,111111,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,03,1177
01,046,1,C,03,003,0001,3091,030272,02,111111,1,1,0,0,0,0,0,1,1,1,1,2,1,1,2,1,2,,2,2,2,2,2,2,2,2,1,1,1,1,1,1,2,1,1,1,1,1,3,3,1,,01,1177
01,062,1,C,03,003,0001,3091,030272,03,111111,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01,1177
01,022,1,C,03,003,0001,3091,030272,04,111111,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,02,1177
01,045,1,C,03,003,0001,3091,030272,05,111111,1,1,0,0,0,0,0,1,1,1,2,1,1,1,1,1,2,,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,3,2,2,,01,1177
01,025,2,C,03,003,0001,3335,030329,01,111111,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,3,2,,1,1,1,1,3,3,3,3,1,3,3,3,1,1,1,1,2,2,2,3,3,3,2,,01,1297
01,028,2,C,03,003,0001,3335,030329,03,111111,1,1,0,0,0,0,0,1,1,1,3,2,1,1,3,3,2,,1,2,2,2,1,3,2,3,1,2,2,2,2,2,2,2,2,2,1,2,3,3,1,,02,1297
01,047,1,C,03,003,0001,3335,030329,04,111111,1,1,1,0,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,02,1164
01,018,1,C,03,003,0001,3335,030329,05,111111,1,1,0,1,0,0,0,1,1,1,2,2,2,1,1,2,2,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,1,2,1,,04,1164
01,041,1,C,28,009,0001,0067,280501,01,111111,1,1,1,1,0,0,0,1,1,1,1,1,3,1,1,2,2,,2,1,3,1,3,3,1,1,1,1,3,3,1,1,1,2,1,1,1,5,5,1,2,,01,18531
01,039,1,C,28,009,0001,0067,280501,02,111111,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01,18531
01,042,1,C,28,009,0001,0067,280501,03,111111,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06,18531
02,043,2,C,28,009,0001,0067,280501,04,111111,2,,,,,,,,,,,,,,,,,,,9,9,9,9,9,9,9,9,9,9,9,9,9,9,,,,,,,,,,02,0
01,042,2,C,28,009,0001,0067,280501,05,111111,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,02,27796
01,029,1,C,28,038,0001,1137,280505,01,111111,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,02,12202
01,025,2,C,28,038,0001,1137,280505,02,111111,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01,36606
01,020,1,C,28,038,0001,1137,280505,03,111111,1,1,0,0,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,03,12202
01,020,1,C,28,038,0001,1137,280505,04,111111,1,1,0,0,0,0,0,1,1,1,1,1,1,2,1,2,2,,2,2,2,2,2,2,2,2,2,1,2,2,2,1,1,3,3,1,1,3,4,2,1,,04,12202
01,025,1,C,28,038,0001,1137,280505,05,111111,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01,12202
01,052,1,C,28,003,0122,124A,280507,01,111111,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01,30785
01,049,2,C,28,003,0122,124A,280507,02,111111,1,1,0,0,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,02,10262
01,040,2,C,28,003,0122,124A,280507,04,111111,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,02,10262
01,045,2,C,28,003,0122,124A,280507,05,111111,1,1,0,0,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01,10262
01,035,1,C,28,038,0001,0425,280511,01,111111,1,1,0,0,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01,15990
01,032,1,C,28,038,0001,0425,280511,02,111111,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01,15990
01,064,1,C,28,038,0001,0425,280511,03,111111,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01,15990
01,018,2,C,28,038,0001,0425,280511,04,111111,1,1,0,0,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05,20559
01,053,2,C,28,038,0001,0425,280511,05,111111,1,1,0,0,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04,20559
01,064,1,C,28,038,0001,0196,280536,01,111111,1,1,0,0,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01,11528
01,056,1,C,28,038,0001,0196,280536,02,111111,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01,11528
01,032,2,C,28,038,0001,0196,280536,05,111111,1,1,0,0,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,02,46112
01,054,2,C,28,038,0001,1211,280548,01,111111,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,02,14034
01,029,2,C,28,038,0001,1211,280548,02,111111,1,1,0,0,0,0,0,1,3,3,1,2,1,1,1,2,2,,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,3,1,2,3,2,3,1,,01,14034
01,039,1,C,28,038,0001,1211,280548,03,111111,1,1,0,0,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01,42102
01,019,2,C,28,038,0001,1211,280548,04,111111,1,1,0,0,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04,14034
01,031,2,C,28,038,0001,1211,280548,05,111111,1,1,0,0,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01,14034
01,034,2,C,28,009,0001,1046,280567,01,111111,1,1,0,0,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,02,27848
01,033,1,C,28,009,0001,1046,280567,02,111111,1,1,1,0,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01,27848
01,020,2,C,28,009,0001,1046,280567,04,111111,1,1,0,0,0,0,0,1,1,1,2,1,1,1,2,2,9,,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,3,2,1,,02,27848
01,057,2,C,28,038,0001,0849,280568,02,111111,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01,11440
01,026,1,C,28,038,0001,0849,280568,03,111111,1,1,0,0,0,1,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,03,20592
