"TPREG,C,1","ENTIDAD,C,2","MUNICIPIO,C,3","LOCALIDAD,C,4","AGEB,C,4","NUMCONTROL,C,6","VIVSEL,C,2","IDHOGAR,C,1","DEGVIV,C,1","JUEZ,C,2","MEDICO,C,2","ABOGADO,C,2","INVESTIGA,C,2","HOMBRENG,C,2","PERIODI,C,2","BANQUERO,C,2","INGENIE,C,2","ARQUITE,C,2","PROFESOR,C,2","DEPORT,C,2","ARTISTA,C,2","PEREVYPER,C,1","PETVYRAD,C,1","PALITICOS,C,1","INC,C,1","CIENTRAUNI,C,1","CIENTRACEN,C,1","ASOCPAM,C,1","EMPRESA,C,1","MILITARES,C,1","LIDREL,C,1","GOBIERNO,C,1","MADICOS,C,1","ESCEINV,C,1","BIOLOGIA,C,1","ASTRONOM,C,1","HISTORIA,C,1","FISICA,C,1","HOMEOPA,C,1","HOROSCOPOS,C,1","ECONOMIA,C,1","MEDICINA,C,1","PSICOLOGIA,C,1","MATEMA,C,1","PARAPSI,C,1","CIIMANEG,C,1","CLMCNOAT,C,1","TECIDIFI,C,1","EXPLYSNOAT,C,1","POCOINTJOV,C,1","OTRA,C,1","NINGUNA,C,1","NOSABE,C,1","ESPE_C166,C,50","LLAVE,C,23","NUMREN,C,2"
7,29,010,0001,0363,290215,04,1,1,06,02,08,04,03,01,05,02,03,02,01,10,2,2,3,2,2,3,3,3,3,3,3,2,3,2,2,2,2,2,3,2,2,2,2,2,1,0,2,0,3,0,0,0,,29010000103632902150411,02
7,29,010,0001,0363,290215,05,1,1,03,08,06,09,07,05,07,08,08,10,10,06,3,3,3,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,3,3,2,2,2,2,2,0,3,0,1,0,0,0,,29010000103632902150511,02
7,29,023,0001,0041,290034,01,1,3,11,06,06,11,11,06,06,06,06,06,06,06,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,0,0,0,0,0,0,0,1,,29023000100412900340113,01
7,29,023,0001,0041,290034,01,2,3,08,09,06,07,08,05,09,07,09,09,08,07,3,2,3,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,0,2,0,1,0,0,0,,29023000100412900340123,03
7,29,023,0001,0041,290034,01,3,3,07,07,06,08,09,07,09,09,07,09,09,08,3,2,3,2,2,3,2,2,2,1,2,2,1,2,2,4,2,3,4,1,1,3,2,4,2,0,1,3,0,0,0,0,,29023000100412900340133,02
7,29,023,0001,0041,290034,02,1,1,08,09,07,08,07,07,07,07,07,07,08,07,2,2,3,3,2,2,2,3,2,2,2,2,3,2,2,3,3,3,4,2,2,2,2,2,1,0,2,3,0,0,0,0,,29023000100412900340211,01
7,29,023,0001,0041,290034,03,1,1,11,10,11,08,08,08,07,08,08,10,10,05,2,2,3,2,2,2,2,3,2,2,2,1,3,5,3,3,2,2,3,2,2,2,2,2,0,3,1,2,0,0,0,0,,29023000100412900340311,02
7,29,023,0001,0041,290034,04,1,1,10,10,11,11,11,11,11,10,10,09,09,11,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,0,0,0,0,0,0,0,1,,29023000100412900340411,01
7,29,023,0001,0041,290034,05,1,1,08,08,09,10,11,08,10,10,10,08,07,08,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,3,3,2,2,2,2,1,0,2,0,3,0,0,0,,29023000100412900340511,02
7,29,025,0001,014A,290203,01,1,1,06,08,07,08,05,04,11,08,07,07,09,06,4,2,3,2,4,4,4,4,3,2,3,1,4,2,2,3,2,2,3,3,2,2,2,2,0,0,1,2,3,0,0,0,,290250001014A2902030111,03
7,29,025,0001,014A,290203,03,1,1,07,08,07,08,07,08,07,08,08,08,08,07,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,2,2,2,2,2,1,0,2,0,3,0,0,0,,290250001014A2902030311,01
7,29,025,0001,014A,290203,04,1,1,11,08,10,05,05,05,06,06,06,07,08,08,3,3,3,3,3,3,2,3,3,2,3,2,2,2,2,2,2,4,4,2,1,5,2,5,0,0,1,2,3,0,0,0,,290250001014A2902030411,02
7,29,025,0001,014A,290203,05,1,1,05,07,06,04,08,07,10,09,08,10,05,06,3,3,3,2,2,2,2,2,2,2,3,2,2,4,4,2,2,2,4,2,2,2,2,4,0,3,2,1,0,0,0,0,,290250001014A2902030511,02
7,29,027,0001,0074,290117,01,1,1,11,10,11,11,10,09,11,09,09,09,09,08,2,2,3,2,1,1,2,3,2,3,3,1,2,2,2,5,2,5,5,2,2,3,1,5,0,0,1,2,3,0,0,0,,29027000100742901170111,02
7,29,027,0001,0074,290117,02,1,1,10,08,07,05,09,03,02,01,06,09,07,03,2,3,3,3,3,3,3,3,3,2,3,2,3,2,2,2,2,3,3,2,2,2,2,2,2,1,3,0,0,0,0,0,,29027000100742901170211,04
7,29,027,0001,0074,290117,03,1,1,11,10,08,10,10,10,10,10,10,10,10,10,1,1,3,4,1,1,3,3,2,2,2,1,2,1,1,1,1,5,5,1,1,1,1,5,0,0,0,0,0,0,0,1,,29027000100742901170311,05
7,29,027,0001,0074,290117,04,1,1,09,08,10,10,09,09,08,07,08,10,10,09,3,2,3,2,2,2,3,2,3,2,3,2,2,2,2,2,2,2,3,3,2,2,2,2,1,2,3,0,0,0,0,0,,29027000100742901170411,03
7,29,031,0001,0221,290320,01,1,1,07,09,08,08,09,10,10,09,10,09,06,09,2,2,3,2,3,3,3,3,3,3,3,1,1,2,2,2,3,5,2,2,1,5,3,5,0,1,0,3,2,0,0,0,,29031000102212903200111,02
7,29,031,0001,0221,290320,02,1,1,06,08,05,09,08,08,09,09,09,07,09,08,2,2,3,2,2,2,2,3,2,2,2,2,2,3,2,2,2,4,4,4,1,4,2,4,0,0,2,3,1,0,0,0,,29031000102212903200211,03
7,29,031,0001,0221,290320,03,1,1,11,06,06,10,08,10,01,08,08,06,10,08,2,2,3,1,1,1,1,3,2,1,3,2,2,2,5,2,1,5,4,2,1,1,1,1,3,0,0,2,1,0,0,0,,29031000102212903200311,02
7,29,031,0001,0221,290320,04,1,2,11,11,11,11,11,11,11,11,11,11,11,11,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,0,0,0,0,0,0,0,1,,29031000102212903200412,02
7,29,031,0001,0221,290320,04,2,2,05,07,04,08,03,09,02,08,08,08,07,07,2,2,3,2,2,2,2,2,2,2,2,2,2,2,4,2,2,4,4,4,2,2,2,2,1,0,3,0,2,0,0,0,,29031000102212903200422,02
7,29,031,0001,0221,290320,05,1,1,11,09,06,09,05,09,08,10,01,09,10,09,2,2,3,2,2,2,2,2,2,3,2,2,2,2,2,4,4,4,2,2,2,2,2,2,2,0,1,0,3,0,0,0,,29031000102212903200511,02
7,29,033,0001,0086,290327,03,1,1,02,08,09,10,08,08,07,08,08,09,10,10,1,1,1,1,1,2,1,1,2,2,2,2,2,2,2,1,1,2,2,2,1,2,1,1,1,0,3,0,2,0,0,0,,29033000100862903270311,02
7,29,033,0001,0086,290327,04,1,1,09,08,08,10,08,08,07,08,08,07,09,07,2,2,3,1,2,1,2,2,1,2,3,2,2,2,2,4,1,4,4,4,1,2,4,4,0,1,2,0,3,0,0,0,,29033000100862903270411,01
7,29,033,0001,0086,290327,05,1,1,06,08,05,09,08,08,07,08,09,09,09,08,4,2,3,2,2,2,2,2,2,1,2,2,2,3,2,3,2,2,4,3,2,3,2,2,0,3,2,0,1,0,0,0,,29033000100862903270511,02
7,29,033,0001,0476,290283,01,1,1,08,09,07,08,09,07,08,09,09,08,09,09,2,2,3,2,1,2,2,2,2,3,2,2,2,2,2,3,2,2,2,3,2,2,2,2,0,2,0,1,3,0,0,0,,29033000104762902830111,03
