"CD,C,2","PER,C,4","AGEB,C,4","ENT,C,2","CON,C,4","PRO_VIV,C,4","V_SEL,C,1","N_HOG,C,1","RFC_E,C,10","RFC_S,C,10","R_PRE,C,2","FCH_PRE,C,10","R_DEF,C,2","FCH_DEF,C,10","P1,C,2","P2,C,1","P3,C,2","R_INF,C,2","R_ELE,C,2","FAC,N,6,0"
21,0811,4637,02,0288,0137,4,1,-,-,01,03/08/2011,01,07/08/2011,04,1,,01,01,5241
21,0811,4637,02,0288,0175,5,1,-,-,01,03/08/2011,01,07/08/2011,06,1,,03,02,5241
21,0811,322A,02,0301,0071,2,1,-,-,01,06/08/2011,01,08/08/2011,04,1,,03,03,5095
21,0811,1878,02,0306,0287,3,1,-,-,01,04/08/2011,01,07/08/2011,06,1,,02,02,7975
21,0811,3357,02,0340,0022,2,1,-,-,01,03/08/2011,01,07/08/2011,04,1,,02,02,4313
21,0811,3357,02,0340,0038,3,1,-,-,01,03/08/2011,01,07/08/2011,01,,,01,01,4313
21,0811,3357,02,0340,0068,5,1,-,-,01,03/08/2011,01,07/08/2011,02,1,,01,01,4313
21,0811,3412,02,0009,0058,3,1,-,-,01,09/08/2011,01,11/08/2011,02,1,,01,01,4225
21,0811,4463,02,0016,0046,2,1,-,-,01,08/08/2011,01,15/08/2011,03,1,,01,02,5147
21,0811,3272,02,0019,0013,1,1,-,-,01,10/08/2011,01,11/08/2011,03,1,,02,02,5260
21,0811,3272,02,0019,0045,2,1,-,-,01,10/08/2011,01,12/08/2011,02,1,,01,02,5260
21,0811,3272,02,0019,0105,4,1,-,-,01,10/08/2011,01,11/08/2011,05,1,,02,02,5260
21,0811,6652,02,0035,0378,5,1,-,-,01,12/08/2011,01,15/08/2011,02,1,,01,01,6715
21,0811,3605,02,0043,0052,2,1,-,-,01,09/08/2011,01,11/08/2011,06,1,,06,06,5287
21,0811,3516,02,0100,0087,3,1,-,-,01,09/08/2011,01,11/08/2011,02,1,,01,01,5802
21,0811,1685,02,0121,0025,1,1,-,-,01,08/08/2011,01,09/08/2011,05,1,,02,02,4112
21,0811,1685,02,0121,0117,4,1,-,-,01,09/08/2011,01,11/08/2011,03,1,,02,02,4112
21,0811,3395,02,0143,0045,2,1,-,-,01,05/08/2011,01,12/08/2011,03,1,,01,03,6994
21,0811,3395,02,0143,0124,4,1,-,-,01,07/08/2011,01,12/08/2011,02,1,,01,02,6994
21,0811,3395,02,0143,0126,5,1,-,-,01,09/08/2011,01,12/08/2011,02,1,,02,01,6994
