"CD,C,2","PER,C,4","ENT,C,2","CON,C,4","V_SEL,C,1","N_HOG,C,1","N_REN,C,2","S3P1,C,2","S3P1_2,C,1","S3P2,C,4","S3P2_ES,C,50","S3P3,C,1","S3P4_1,C,1","S3P4_2,C,1","S3P4_3,C,1","S3P4_4,C,1","S3P5,C,1","S3P5_ES,C,50","S3P6,C,2","S3P7,C,1","S3P7_1_1,C,1","S3P7_1_2,C,1","S3P7_2_1,C,1","S3P7_2_2,C,1","S3P8,C,1","S3P9,C,1","S3P10,C,1","S3P11_ES,C,100","S3P12_C,C,2","S3P12_ES,C,50","S3P13_ES,C,50","S3P14_C,C,2","S3P14_ES,C,100","S3P15,C,1","S4P1_1,C,1","S4P1_2,C,1","S4P1_3,C,1","S4P1_4,C,1","S4P1_5,C,1","S4P1_6,C,1","S4P1_7,C,1","S4P1_1_1,C,1","S4P1_1_2,C,1","S4P1_1_3,C,1","S4P1_1_4,C,1","S4P1_1_5,C,1","S4P1_1_6,C,1","S4P1_1_7,C,1","S4P1_1_ES,C,50","S4P1_2_1,C,1","S4P1_2_2,C,1","S4P1_2_3,C,1","S4P1_2_4,C,1","S4P1_2_5,C,1","S4P1_2_6,C,1","S4P1_2_7,C,1","S4P1_2_8,C,1","S4P1_2_9,C,1","S4P1_2_10,C,1","S4P1_2_11,C,1","S4P1_2_ES,C,50","S4P2_1,C,1","S4P2_2,C,1","S4P2_3,C,1","S4P2_4,C,1","S4P2_5,C,1","S4P2_6,C,1","S4P2_7,C,1","S4P3_1,C,1","S4P3_2,C,1","S4P3_3,C,1","S4P3_4,C,1","S4P3_5,C,1","S4P3_6,C,1","S4P3_7,C,1","S4P3_8,C,1","S4P3_9,C,1","S4P4,C,3","S4P4_1,C,3","S4P4_2,C,3","S4P5,C,3","S4P5_1,C,3","S4P5_2,C,3","S4P6,C,1","S4P6_1,C,2","S4P6_2,C,2","S4P6_3,C,2","S4P7,C,2","S4P7_1,C,2","S4P7_2,C,2","S4P7_3,C,2","S4P7_R1,C,50","S4P7_R2,C,50","S4P7_R3,C,50","S4P8,C,1","S4P8_1_1,C,2","S4P8_1_2,C,2","S4P8_1_ES,C,50","S4P9,C,1","S4P10,C,1","S4P10_1,C,2","S4P11_1,C,1","S4P11_2,C,1","S4P11_3,C,1","S4P11_4,C,1","S4P11_5,C,1","S4P11_6,C,1","S4P11_7,C,1","S4P11_8,C,1","S4P11_9,C,1","S4P11_10,C,1","S4P11_11,C,1","S4P11_12,C,1","S4P11_13,C,1","S4P11_14,C,1","S4P11_15,C,1","S4P11_16,C,1","S4P11_17,C,1","S4P11_ES,C,50","S4P12_1,C,1","S4P12_2,C,1","S4P12_3,C,1","S4P12_4,C,1","S4P12_5,C,1","S4P12_6,C,1","S4P12_7,C,1","S4P12_8,C,1","S4P12_9,C,1","S4P12_1_1,C,1","S4P12_1_2,C,1","S4P12_1_3,C,1","S4P12_1_4,C,1","S4P12_1_5,C,1","S4P12_1_6,C,1","S4P12_1_7,C,1","S4P12_1_8,C,1","S4P12_1_9,C,1","S4P12_1_10,C,1","S4P12_1_ES,C,50","S4P12_2_1,C,1","S4P12_2_2,C,1","S4P12_2_3,C,1","S4P12_2_4,C,1","S4P12_2_5,C,1","S4P12_2_6,C,1","S4P12_2_7,C,1","S4P12_2_8,C,1","S4P12_2_ES,C,50","S4P13_1,C,1","S4P13_2,C,1","S4P13_3,C,1","S4P13_4,C,1","S4P13_5,C,1","S4P13_6,C,1","S4P14_1,C,2","S4P14_2,C,2","S4P14_3,C,2","S4P14_4,C,2","S4P14_5,C,2","S4P14_6,C,2","S4P14_7,C,2","S4P14_8,C,2","S4P14_9,C,2","S4P14_10,C,2","S4P14_11,C,2","S4P14_12,C,2","S4P14_13,C,2","S4P14_14,C,2","S4P14_15,C,2","S4P14_16,C,2","S4P15_1,C,1","S4P15_2,C,1","S4P15_3,C,1","S4P15_4,C,1","S4P15_5,C,1","S4P15_6,C,1","S4P15_7,C,1","S4P15_8,C,1","S4P15_9,C,1","S4P15_10,C,1","S4P15_11,C,1","S4P15_12,C,1","S4P15_13,C,1","S4P15_14,C,1","S4P15_15,C,1","S4P16_1,C,1","S4P16_2,C,1","S4P16_3,C,1","S4P16_4,C,1","S4P16_5,C,1","S4P16_6,C,1","S4P16_7,C,1","S4P16_8,C,1","S4P16_9,C,1","S4P16_10,C,1","S4P16_11,C,1","S4P16_12,C,1","S4P17_1,C,1","S4P17_2,C,1","S4P17_3,C,1","S4P17_4,C,1","S4P17_5,C,1","S4P17_ES,C,50","S4P17_6,C,1","S4P17_7,C,1","S4P18_1,C,1","S4P18_2,C,1","S4P18_3,C,1","S4P18_4,C,1","S4P18_5,C,1","S4P18_6,C,1","S4P18_7,C,1","S4P18_8,C,1","S4P18_9,C,1","S4P18_10,C,1","S4P19_1,C,1","S4P19_2,C,1","S4P19_3,C,1","S4P19_4,C,1","S4P19_5,C,1","S4P19_6,C,1","S4P19_7,C,1","S4P19_8,C,1","S4P19_9,C,1","S4P19_10,C,1","S4P19_11,C,1","S4P19_12,C,1","S4P19_13,C,1","S4P19_14,C,1","S4P19_15,C,1","S4P19_16,C,1","S4P19_17,C,1","S4P19_18,C,1","S4P19_19,C,1","S4P19_20,C,1","S4P20,C,1","S4P21,C,1","S4P22_1_1,C,1","S4P22_1_2,C,1","S4P22_1_3,C,1","S4P22_1_4,C,1","S4P22_1_5,C,1","S4P22_1_6,C,1","S4P22_2,C,1","FAC,N,6,0"
18,0811,27,0343,2,1,03,02,2,,,,,,,,,,,,,,,,1,,4,HACE Y VENTA DE FRITURAS,75,VENDEDOR,EMPRESA SIN NOMBRE,31,A ELABORACION DE FRITURAS,2,3,3,4,3,3,3,4,,,,,,,,,1,2,1,2,2,2,2,2,2,2,2,,2,2,3,4,3,3,4,2,3,6,5,1,4,,,,002,002,000,000,,,0,,,,00,,,,,,,2,,,,1,2,,,,,,,,,,,,,,,,,,,,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,0,0,1,0,0,0,0,0,,3,3,3,3,3,2,05,07,04,11,07,06,11,07,08,06,08,05,08,07,02,06,5,4,3,4,4,4,4,5,4,4,4,4,3,5,4,2,2,2,2,5,5,2,2,2,2,5,5,1,2,,,3,TODAS LAS OPCIONES SON IMPORTANTES PARA EL INFORMA,,,4,4,3,4,5,5,5,5,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,4,2,2,2,4,4,2,13396
18,0811,27,0137,4,1,01,07,3,5511,INGENERIA MANTENIMIENTO INDUSTRIAL,3,2,1,2,1,2,,21,2,,,2,2,1,,1,"CAPTURA,ARCHIVA, ORDENA INFORMACION",31,AUXILIAR ADMINISTRATIVO,HOSPITAL DEL NI�O,62,BRINDA ATENCION MEDICA A NI�OS DE CERO A 15 A�OS DE EDAD,1,2,4,3,3,2,4,1,,,,,,,,,2,1,1,2,2,1,2,2,1,2,2,,2,4,4,4,3,3,3,3,6,5,1,2,4,,,,010,000,000,000,,,3,10,09,01,00,,,,,,,1,02,10,SOLO EN EL TRABAJO,1,1,10,2,1,1,2,2,2,2,1,2,1,2,2,2,1,2,1,2,,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,1,0,0,0,0,0,0,0,,3,3,3,3,3,3,08,07,07,08,09,05,07,10,09,06,09,10,08,07,02,11,4,2,3,3,3,2,3,2,5,3,3,2,2,2,2,2,2,3,2,5,2,4,1,2,2,2,4,,1,3,2,,,,,3,2,2,3,4,4,4,4,4,4,1,1,1,1,3,1,1,1,1,3,1,1,3,3,1,2,3,3,2,3,3,3,4,3,4,1,1,1,1,10946
18,0811,27,0177,4,1,01,04,3,,,,,,,,1,,17,1,2,1,,,4,5,,,,,,,,,4,4,3,3,1,3,3,,,,,,,,,1,1,1,2,1,2,1,1,2,2,2,,4,4,3,3,2,3,3,6,4,1,2,3,5,,,,000,,,000,,,0,,,,03,03,00,00,VANIDADES,TV NOVELAS,,1,01,03,,1,1,10,2,1,1,2,1,2,2,1,2,2,1,1,2,1,1,1,2,,2,1,2,2,2,2,2,1,2,,,,,,,,,,,,0,0,0,0,0,0,1,0,,2,3,2,2,2,3,08,09,09,09,08,08,08,09,09,10,09,08,08,08,07,08,3,3,3,2,2,2,2,2,2,2,3,2,2,2,2,2,3,2,2,2,3,3,2,3,2,3,3,1,2,,3,,,,,3,2,3,3,3,3,4,3,4,3,1,3,1,1,1,2,1,1,1,3,1,2,1,1,1,2,2,2,1,2,3,2,2,3,5,1,2,1,2,7588
18,0811,27,0177,5,1,02,03,3,,,,,,,,,,,,,,,,5,5,,,,,,,,,3,3,3,3,3,2,3,,,,,,,,,2,2,2,2,2,2,2,2,2,2,2,,3,3,3,3,3,3,3,1,5,6,4,3,2,,,,000,,,008,002,000,1,10,05,00,01,15,10,00,ME CASARIA DE NUEVO CONTIGO,,,1,01,09,,1,1,02,2,2,1,2,2,2,2,1,2,2,2,2,2,1,2,1,2,,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,1,0,0,0,0,0,0,0,,3,3,2,3,1,2,09,08,09,09,08,03,08,09,09,09,09,09,09,09,05,09,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,2,3,3,2,2,3,2,3,3,,2,1,3,,,,,4,3,4,4,4,4,4,4,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,3,1,5,2,2,2,2,2,3,8444
18,0811,27,0215,2,1,02,04,3,,,,,,,,1,,19,2,,,2,2,1,,1,VENDEDOR REPARTIDOR DE PRODUCTOS DE PESCADERIA Y AVICOLA,42,VENDEDOR DE AUTOSERVICIO Y REPARTIDOR,GRUPO ARRIOJA,43,VENDER Y SURTIR DE PRODUCTOS AVICOLAS Y PESCADERIA TIENDAS DE AUTOSERVICIO,2,3,4,3,3,3,4,4,,,,,,,,,2,1,2,2,2,2,2,2,1,2,2,,3,4,3,4,4,4,4,3,1,6,4,2,5,,,,007,001,000,008,004,000,7,20,07,00,00,,,,,,,1,01,04,,1,1,01,2,2,1,2,2,1,2,1,1,1,2,2,2,1,2,1,2,,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,1,0,0,0,0,0,0,0,,3,3,1,2,2,3,07,09,10,04,06,07,05,06,10,02,06,05,08,06,07,06,3,3,4,3,2,2,3,3,3,4,4,2,4,5,4,2,2,2,2,3,2,2,2,2,2,2,3,,2,1,3,,,,,4,2,3,5,5,3,5,5,5,5,1,1,1,2,2,2,2,1,1,2,1,1,2,3,3,1,1,1,3,3,3,1,4,3,3,3,4,3,2,11081
18,0811,27,0215,3,1,02,07,1,5517,INGENIERIA EN SISTEMAS COMPUTACIONALES,3,2,1,1,1,1,,19,1,2,1,,,1,,1,ELABORACION DE BALANCES CONCILIACIONES BANCARIAS ARQUEO DE CASA,25,AUXILIAR CONTABLE,ASESORIA COORPORATIVA S.A DE C.V,54,LLEVAR LA CONTABILIDAD DE DIVERSOS NEGOCIOS PARTICULARES Y SOCIEDADES,2,3,4,2,3,3,4,3,,,,,,,,,2,1,1,1,2,2,2,2,1,1,2,,3,4,3,3,3,4,3,4,6,3,2,5,1,,,,000,,,003,000,000,0,,,,00,,,,,,,1,02,03,,1,1,48,2,1,1,1,2,1,1,1,1,1,1,1,2,1,2,1,2,,1,2,1,2,2,1,2,1,2,,,,,,,,,,,,0,0,0,1,0,0,0,0,,2,2,2,4,2,2,08,09,09,10,08,07,08,10,09,09,10,05,09,09,05,02,3,3,4,2,1,1,1,2,3,3,4,1,2,1,2,1,1,1,1,2,1,4,1,4,1,4,4,,2,1,3,,,,,3,1,3,3,3,2,3,3,4,4,1,2,2,2,3,3,1,2,3,2,1,2,1,1,1,2,2,2,3,3,3,4,5,1,3,1,1,2,1,10988
18,0811,27,0219,2,1,02,07,5,5341,LICENCIATURA EN DERECHO,3,2,2,2,2,1,,23,2,,,2,2,1,,1,DAR ASESORIAS JURIDICA A PERSONAS DE BAJOS,21,ASESOR JURIDICO DE BRNEFICIENCIA PUBLICA,DIF ESTATAL,93,"APRESTAR APOYOS, ASESORIAS Y EN PROGRAMAS A PERSONAS DE BAJOS RECURSOS",2,2,2,2,2,2,4,2,,,,,,,,,2,1,1,1,2,2,1,1,1,1,2,,1,1,1,1,2,3,2,4,3,5,1,2,6,,,,002,001,000,003,000,000,7,20,10,02,00,,,,,,,1,01,02,,1,1,40,2,1,1,1,2,1,1,1,1,1,2,1,2,1,1,1,2,,2,1,2,2,2,2,2,1,2,,,,,,,,,,,,1,0,0,0,0,0,0,0,,3,3,2,2,3,2,08,09,10,10,08,07,08,10,09,09,10,06,10,10,05,07,3,3,4,2,1,1,1,2,3,3,4,1,2,1,2,1,1,1,1,2,1,4,1,4,1,4,4,,3,2,1,,,,,3,1,2,3,3,3,3,3,4,4,1,1,1,1,2,2,1,1,1,2,1,2,1,1,2,2,2,2,1,1,3,3,5,1,3,1,1,2,1,9001
18,0811,27,0219,3,1,07,03,3,,,,,,,,,,,,,,,,1,,1,ACOMODAR LA MERCANCIA EN  LOS ANAQUELES,42,VENDOR DE AREA DE ABARROTES,BODEGA AURRERA,46,"A LA VENTA -COMPRA DE ABARROTES, ELECTRONICA, JUGETES, ETC.",3,1,3,3,3,4,3,3,,,,,,,,,1,1,2,1,2,2,2,2,1,2,2,,1,3,3,3,3,3,3,5,4,3,1,2,6,,,,010,002,001,000,,,0,,,,00,,,,,,,1,01,10,SOLO ACCESA A UNA COMPUTADORA EN EL HOGAR,1,1,08,2,2,1,2,1,1,2,1,1,2,1,2,2,1,2,1,2,,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,1,0,0,0,0,0,0,1,FALTA  DE DINERO,2,3,2,2,2,2,07,08,05,09,05,07,08,08,08,07,08,08,08,08,06,06,3,3,4,2,2,3,2,4,4,2,4,1,3,3,3,2,2,2,2,2,2,4,2,4,1,4,4,2,,3,1,,,,,3,5,2,2,2,2,3,4,4,3,1,2,1,1,3,2,1,2,1,2,1,2,1,1,1,2,2,2,1,1,3,2,4,2,4,1,1,1,1,26534
18,0811,27,0260,4,1,01,07,5,5334,LICENCIADO EN CONTADURIA PUBLICA,3,2,2,2,1,1,,23,2,,,2,2,1,,5,DAR ASESORIA FISCAL Y CONTABLE A PERSONAS FISICAS Y MORALES,21,CONTADOR PUBLICO,CUENTAS CLARAS S.C,54,REALIZAR AUDITORIAS  COBROS Y PAGOS DE IMPUESTOS,2,4,1,1,1,3,4,1,,,,,,,,,1,1,2,2,2,1,2,2,1,1,2,,3,1,2,2,2,3,1,5,6,3,2,1,4,,,,012,007,002,008,008,000,7,60,10,10,02,10,03,03,COMPUTACION E INTERNET,MECANICA POPULAR,,1,01,02,,1,1,14,2,2,1,1,1,2,1,1,1,1,2,1,2,1,2,1,2,,2,2,1,2,2,1,2,2,1,,,,,,,,,,,,0,0,0,1,0,0,0,0,,4,3,3,3,3,4,08,10,09,09,10,08,08,09,09,07,10,07,10,10,08,07,2,2,3,1,1,2,2,2,2,4,3,1,3,1,2,1,2,3,1,3,3,3,2,2,1,3,4,,2,3,1,,,,,2,1,2,2,2,2,2,2,2,3,1,2,1,1,2,2,1,1,1,2,1,2,1,1,1,2,2,2,1,2,3,3,4,1,3,1,1,1,2,9588
18,0811,27,0341,5,1,02,09,2,7341,MAESTRIA EN DERECHO CIVIL,4,2,2,2,2,1,,27,2,,,2,2,1,,1,REALIZA EMBARGOS SEPARACION DE PERSONAS NOTIFICA ACUERDOS,15,ACTUARIA JUDICIAL,TRIBUNAL SUPERIOR DE JUSTICIA,93,A IMPARTIR JUSTICIA DIRIMIR INCONFORMIDADES EN SENTENCIAS,2,3,3,1,1,3,3,1,,,,,,,,,1,1,1,1,1,1,1,1,1,1,2,,3,3,3,3,2,2,3,1,4,5,2,3,6,,,,020,010,001,008,005,000,7,28,20,00,00,,,,,,,1,01,02,,1,1,10,2,2,2,1,2,2,2,1,2,1,1,2,2,2,2,2,2,,2,2,1,2,2,2,2,2,2,,,,,,,,,,,,0,0,0,1,0,0,0,0,,3,3,2,2,2,3,09,09,09,09,09,08,09,10,10,09,10,09,09,09,08,09,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,3,2,3,3,3,2,3,2,4,4,,2,3,1,,,,,4,3,3,4,4,4,5,4,4,4,1,1,1,1,2,2,1,1,1,2,1,2,1,1,1,2,2,2,1,1,3,1,5,2,2,1,1,2,2,9736
18,0811,27,0026,2,1,02,07,1,5524,INGEBIERO PETROLERO,3,1,1,1,1,2,,21,1,2,1,,,8,5,,,,,,,,,2,4,3,3,3,3,3,,,,,,,,,2,1,1,1,1,1,2,2,2,1,2,,3,3,3,3,3,3,3,4,5,6,1,2,3,,,,000,,,000,,,0,,,,00,,,,,,,1,01,10,SOLO ACCESA A UNA COMPUTADORA EN SU HOGAR,1,1,15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,,1,1,1,1,1,1,2,2,2,0,0,0,0,0,0,1,0,0,0,,,,,,,,,,,4,3,3,3,2,2,02,10,01,08,10,07,08,10,08,03,10,05,10,10,01,05,2,4,4,3,2,2,5,4,2,2,4,1,1,2,4,2,2,4,2,4,4,3,3,3,2,4,4,2,3,1,,,,,,2,1,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,2,1,1,3,3,5,3,2,1,1,3,1,16119
18,0811,27,0164,1,1,02,04,3,,,,,,,,1,,18,2,,,2,2,5,5,,,,,,,,,4,2,2,2,2,2,2,,,,,,,,,1,2,1,2,1,2,1,1,1,2,2,,2,2,2,2,2,2,2,1,3,6,5,2,4,,,,005,005,000,042,042,000,2,10,10,00,00,,,,,,,1,01,02,,1,2,,,,,,,,,,,,,,,,,,,,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,1,0,0,0,0,0,0,0,,3,2,2,2,2,2,05,06,03,08,09,08,02,07,10,10,09,07,10,10,06,10,2,2,3,3,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,2,2,2,3,3,,2,3,1,,,,,4,4,3,4,4,4,4,4,4,5,1,2,1,1,1,1,1,2,1,2,1,1,1,1,1,3,1,1,1,1,3,4,5,2,3,1,1,3,2,24441
18,0811,27,0222,3,1,01,03,3,,,,,,,,,,,,,,,,1,,1,REALIZA LIMPIEZA EN CASAS PARTICULARES,96,EMPLEADA DOMESTICA,EMPLEADA DOMESTICA EN CASA PARTICULAR,81,"LIMPIAR, BARRER, LAVAR, TRAPEAR CASAS PARTICULARES",2,4,4,4,4,4,3,4,0,0,0,0,1,0,0,,,,,,,,,,,,,,4,4,4,4,4,4,4,2,5,6,4,1,3,,,,010,003,000,003,003,000,0,,,,00,,,,,,,2,,,,2,,,,,,,,,,,,,,,,,,,,,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,1,0,0,0,0,0,0,0,,5,5,5,2,4,5,01,09,09,11,11,07,11,11,11,09,09,09,09,08,05,08,3,2,4,5,5,5,5,4,4,3,4,3,3,5,2,5,5,5,2,5,5,5,2,5,5,5,5,2,3,1,,,,,,5,5,5,5,5,5,5,4,5,5,1,3,3,3,1,1,2,2,3,3,1,3,3,3,3,3,3,3,3,3,5,4,6,6,6,6,6,6,3,3830
10,0811,28,0719,4,2,01,03,3,,,,,,,,,,,,,,,,1,,1,PESCAR,62,PESCADOR,TRABAJA POR SU CUENTA,11,PESCA DE MARISCO,2,3,2,4,4,2,3,2,0,0,0,0,1,0,0,,,,,,,,,,,,,,2,2,3,3,3,3,3,5,2,1,4,3,6,,,,014,007,000,028,007,000,7,15,05,00,00,,,,,,,2,,,,1,2,,,,,,,,,,,,,,,,,,,,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,0,0,0,0,1,0,0,0,,3,3,2,2,2,2,09,10,07,10,08,08,09,10,10,10,10,05,10,10,01,05,2,2,3,3,1,1,2,3,3,4,2,1,4,1,2,1,4,4,1,3,3,4,1,3,2,3,3,,3,1,2,,,,,3,4,3,3,2,2,4,4,4,3,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,2,1,2,1,4,1,4,1,4,1,1,1,1,4748
10,0811,28,0502,1,1,02,02,6,,,,,,,,,,,,,,,,5,5,,,,,,,,,3,3,3,3,2,4,4,,,,,,,,,1,2,1,2,1,2,2,1,1,1,2,,3,2,3,2,3,3,3,2,4,3,5,1,6,,,,042,003,002,000,,,1,28,28,00,00,,,,,,,2,,,,1,2,,,,,,,,,,,,,,,,,,,,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,1,0,0,0,0,0,0,0,,4,3,2,2,2,2,08,10,09,08,07,09,08,09,08,09,07,09,10,09,08,08,2,2,3,2,1,2,2,2,1,2,2,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,1,2,3,,,,,,2,3,2,1,2,2,2,2,2,2,1,2,1,2,3,1,1,2,2,2,1,2,1,1,1,2,3,2,2,1,5,1,4,1,3,1,2,1,1,26623
10,0811,28,0502,3,1,03,07,4,5341,DERECHO,3,1,2,2,1,1,,21,2,,,2,1,1,,1,ATENCION A CLIENTES,42,VENTAS,CHEVROLET,46,AUTOMOTRIS,2,3,2,2,2,1,3,3,,,,,,,,,2,1,1,2,2,2,1,1,1,1,2,,3,2,2,3,2,3,3,4,5,6,2,3,1,,,,007,005,001,000,,,1,30,15,03,00,,,,,,,1,01,02,,1,1,21,2,1,1,1,2,2,2,1,1,1,1,2,1,1,2,1,2,,1,1,2,2,2,2,2,1,1,,,,,,,,,,,,0,1,0,0,0,0,0,0,,3,3,3,2,3,3,04,09,06,09,08,03,05,09,08,07,08,09,10,10,03,08,2,2,3,2,1,2,1,2,3,3,3,2,2,1,2,2,1,3,1,2,1,3,1,3,2,2,2,,1,3,2,,,,,2,1,2,2,2,3,4,4,3,4,1,2,2,1,1,1,1,1,1,2,1,2,1,2,1,2,2,2,2,1,3,3,5,1,4,1,1,1,2,56849
10,0811,28,0525,1,1,01,03,3,,,,,,,,,,,,,,,,1,,1,TECNICO EN AUDIO,26,INGENIERO GRAVACION,AQUA RECORDS,51,GRABACION DE GRUPOS,2,1,4,1,1,1,4,2,,,,,,,,,1,2,1,2,2,1,1,1,1,1,2,,1,4,1,1,2,4,2,3,4,5,6,1,2,,,,004,001,000,002,000,000,7,15,05,00,00,,,,,,,1,02,04,,1,1,02,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,,1,1,2,2,1,1,2,1,2,,,,,,,,,,,,0,0,0,1,0,0,0,0,,3,3,3,5,5,5,08,08,07,09,08,06,06,09,09,06,10,08,10,09,05,09,2,4,4,2,2,2,3,4,3,4,4,2,4,1,3,2,1,1,1,5,1,4,1,4,2,4,1,,1,3,2,,,,,3,2,4,5,4,4,4,4,3,4,1,1,1,3,3,3,1,2,1,1,1,2,1,3,1,2,2,2,1,1,3,2,5,1,2,1,1,1,3,13934
10,0811,28,0662,1,1,02,02,6,,,,,,,,,,,,,,,,5,2,4,BELLEZA,52,CORTE D CABELLO,HOGAR,81,CORTE D CABELLO,2,3,3,3,3,3,3,3,,,,,,,,,1,2,1,1,1,1,2,2,1,1,2,,3,3,3,3,3,3,3,2,3,5,4,1,6,,,,004,002,001,000,,,1,20,02,01,00,,,,,,,2,,,,1,2,,,,,,,,,,,,,,,,,,,,2,2,2,2,2,2,2,1,2,,,,,,,,,,,,0,0,0,0,1,0,0,0,,3,4,3,1,5,3,08,09,07,08,09,08,09,09,09,08,09,09,10,09,07,10,2,2,3,2,2,1,2,2,1,2,2,1,3,3,2,3,1,1,1,1,1,1,1,1,3,3,1,1,2,3,,,,,,3,3,3,4,5,5,5,5,5,5,1,1,1,3,3,3,1,2,3,2,1,1,1,3,1,3,3,2,1,1,2,2,5,6,6,6,6,6,1,16430
10,0811,28,0662,2,1,02,04,3,,,,,,,,1,,19,2,,,2,1,1,,1,ARCHIVAR,31,CAJERA,GASOLINERIA,46,VENYA DE COMBUSTIBLE,3,4,3,3,1,1,2,2,,,,,,,,,1,1,1,1,1,2,1,1,1,1,2,,1,3,2,3,3,3,3,2,3,4,1,5,6,,,,003,000,000,010,002,000,0,,,,00,,,,,,,1,02,10,CELULAR,1,1,03,1,2,1,2,2,2,2,1,2,1,2,2,2,1,2,1,2,,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,1,0,0,0,0,0,0,0,,2,2,5,5,2,3,08,09,09,10,09,08,09,09,10,09,09,09,10,08,06,08,2,5,3,3,2,1,2,2,2,2,2,2,3,3,3,2,1,1,1,4,1,1,1,2,1,1,2,,1,3,2,,,,,3,2,3,3,3,3,3,3,3,3,1,1,1,2,1,3,1,1,1,1,1,2,1,3,1,3,2,2,1,1,2,1,2,1,3,2,1,2,3,16292
10,0811,28,0673,2,1,01,00,,,,,,,,,,,,,,,,,6,5,,,,,,,,,3,3,3,3,3,3,3,,,,,,,,,1,2,1,2,2,2,2,2,2,2,2,,3,3,3,3,3,3,3,2,3,4,6,1,5,,,,005,005,000,000,,,0,,,,00,,,,,,,2,,,,2,,,,,,,,,,,,,,,,,,,,,2,1,2,2,1,2,2,1,2,,,,,,,,,,,,0,0,0,0,0,1,0,0,,3,2,1,1,3,2,01,05,01,10,05,05,04,08,08,09,10,06,10,10,08,09,3,3,4,4,1,1,3,3,2,1,3,3,3,1,3,1,4,3,1,2,3,3,2,4,1,1,2,2,1,,3,,,,,2,3,3,3,3,3,4,4,3,2,1,2,2,2,1,2,1,3,1,1,1,1,1,3,1,2,3,1,2,1,2,1,4,2,1,1,1,3,1,15819
10,0811,28,0719,1,1,01,02,6,,,,,,,,,,,,,,,,1,,1,RECOLECTOR DE BASURA,96,RECOLECTOR DE BASURA,AYUNTAMIENTO D MADERO,93,FINANCZAS DEL MUNICIPIO,2,4,4,4,4,4,4,4,0,1,1,0,0,0,0,,,,,,,,,,,,,,4,4,4,4,4,3,4,3,1,6,4,5,2,,,,085,021,000,000,,,3,10,05,00,00,,,,,,,2,,,,1,2,,,,,,,,,,,,,,,,,,,,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,0,0,0,0,1,0,0,0,,5,5,2,3,2,2,05,10,10,10,06,10,10,06,08,10,09,08,10,10,05,10,3,2,2,2,2,2,2,3,2,3,3,2,2,2,2,2,4,3,1,3,3,2,1,3,2,4,4,2,3,1,,,,,,4,4,3,4,3,3,4,5,5,5,1,1,1,3,1,3,3,2,3,3,1,3,1,3,3,3,1,1,1,1,4,2,2,1,3,1,1,1,1,4977
10,0811,28,0719,3,1,01,00,,,,,,,,,,,,,,,,,1,,1,LIMPIANDO CAMARON,75,EMPACADORA,SE�OR MALACO,46,COMPRA VENTA DE MARISCO,2,2,3,4,4,3,3,3,0,1,0,0,0,0,0,,,,,,,,,,,,,,3,3,4,3,3,3,3,6,2,5,4,1,3,,,,040,018,001,030,005,000,6,18,06,08,04,08,06,02,TV NOVELAS,TV NOTAS,VANIDADES,2,,,,1,2,,,,,,,,,,,,,,,,,,,,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,0,0,0,1,0,0,0,0,,3,3,3,3,2,3,06,09,07,08,05,09,04,09,08,10,09,08,10,10,03,08,2,2,4,3,1,1,2,3,1,3,4,2,3,2,2,2,2,3,2,4,2,4,1,3,4,4,3,,3,2,1,,,,,2,3,1,4,3,4,3,5,4,3,1,2,1,2,2,1,2,1,1,1,1,1,1,1,1,2,2,2,1,2,3,3,4,1,2,1,3,3,1,4942
